id,usd_price
1,66097.61346013742
2,78353.50012722152
3,100882.43866105573
4,95054.06326152285
5,188985.27990291023
6,63912.69388268557
7,235796.83479744592
8,135880.17254711638
9,90508.95740699976
10,68985.68029624045
11,171809.97617523465
12,185470.04038523976
13,61722.91715345267
14,148660.25662319842
15,96030.9094588012
16,89460.73153463333
17,153143.06503861566
18,85340.6995190512
19,58570.16516521938
20,55692.486858253935
21,77504.31681781332
22,80319.04924180006
23,68874.15699295203
24,70110.62144766233
25,63668.04092445833
26,126777.41290237162
27,46823.019944119456
28,91767.92092489006
29,178807.76246095973
30,116007.41721396353
31,67909.42442452334
32,199753.10526815834
33,61815.49048171427
34,76963.19419370352
35,68664.56237985632
36,48677.29250370993
37,139374.876342531
38,113288.34096121206
39,123118.29419227495
40,176720.2187101243
41,111991.87160617624
42,73697.24776835245
43,68183.44949450705
44,53941.058775514786
45,94093.13113419102
46,59420.09076485543
47,164220.93483529132
48,113772.52177690767
49,70990.18918201602
50,53891.08250523102
51,145505.0370576224
52,89195.03505184304
53,67713.81031326705
54,96320.61742528623
55,246571.43557162964
56,107023.35449617614
57,74373.60879830482
58,90581.01335208195
59,103329.09465686182
60,98455.06193449083
61,59496.759036013136
62,160388.7133912914
63,70132.92883587819
64,107951.41302228243
65,94968.37596609921
66,60262.37221985526
67,140571.95155613963
68,181552.29373294098
69,86709.59566417911
70,122092.46682979353
71,75970.21055291242
72,59394.46145169309
73,101167.74875217392
74,125625.1676122683
75,118559.51207329897
76,164778.1216092281
77,100985.55651688098
78,119839.0067770615
79,89645.81984700695
80,95075.22724592556
81,77239.77571368925
82,164360.1416622878
83,77793.1654770391
84,67737.11614682873
85,68023.16412836371
86,46342.044938230596
87,105147.75490539103
88,64398.360082270556
89,78230.7442747003
90,87377.30522967219
91,89725.76705362943
92,76306.3983308268
93,91866.68259855035
94,160835.0760496938
95,166404.65329741308
96,55922.19530754902
97,206236.7623732331
98,51252.75083540648
99,76759.32477312202
100,109769.34728801448
101,231828.59845178403
102,52167.85034746191
103,189760.56956677002
104,112045.8109229307
105,106429.39284744591
106,269897.44558115856
107,105259.47012368869
108,175710.39703754935
109,330012.2336540445
110,114489.16429050254
111,86558.8030079735
112,167700.89853174693
113,155972.11542464004
114,55710.03857112097
115,93108.23284781854
116,232860.02320746877
117,50374.199153873786
118,77059.31548297277
119,161763.94568340768
120,148831.7757678433
121,102907.14063699127
122,66673.7828965626
123,309625.93371023855
124,429348.4908316363
125,70525.74342268368
126,66826.4434660488
127,105836.20802686637
128,74950.53894579444
129,124775.09531419496
130,54620.154235954964
131,147612.91037588628
132,41995.66595041709
133,107265.76982122354
134,71471.08941373517
135,105836.20802686637
136,69936.08565243166
137,131425.64992832422
138,60535.391135692276
139,99638.91124346765
140,62938.05866681856
141,131129.1683949098
142,122713.39759600074
143,1021147.0604772817
144,78959.73875893581
145,68545.4517593297
146,107160.21942381616
147,77080.85724472719
148,64744.439753767656
149,81378.25093625703
150,64509.7641840636
151,59238.21979010708
152,102772.67706360275
153,105588.13129332945
154,153168.4979252102
155,46736.68848632264
156,46156.83375207398
157,166179.89209052423
158,149068.87050048166
159,296031.49009752745
160,211819.8255211617
161,103457.20221389213
162,53995.33465987349
163,146521.37644976508
164,136504.75014302242
165,66696.14365453261
166,105136.55951789492
167,143734.71830493974
168,60445.98054957729
169,67721.09624457112
170,54938.30254400577
171,56889.14891965311
172,57413.41602483274
173,135845.8317218051
174,294568.05905274325
